composer,title,folder,xml_score,midi_score,midi_performance,performance_annotations,midi_score_annotations,maestro_midi_performance,maestro_audio_performance,start,end,audio_performance,performer,sp_async_delta,sp_async_cor_onset,sp_async_cor_vel,sp_async_voice_std,sp_duration_percentage,sp_key_overlap_ratio,sp_kor_repeated,sp_tempo_std,sp_dynamics_agreement,sp_dynamics_consistency_std,sp_phrasing_rubato_w,sp_phrasing_rubato_q,sp_kor_legato,sp_kor_staccato
Bach,Fugue_bwv_846,Bach/Fugue/bwv_846,Bach/Fugue/bwv_846/xml_score.musicxml,Bach/Fugue/bwv_846/midi_score.mid,Bach/Fugue/bwv_846/Shi05M.mid,Bach/Fugue/bwv_846/Shi05M_annotations.txt,Bach/Fugue/bwv_846/midi_score_annotations.txt,{maestro}/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.midi,{maestro}/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.wav,144.56770833333331,,Bach/Fugue/bwv_846/Shi05M.wav,2006Shi,0.015382767441860077,0.3427164290181515,0.6221752515609072,0.007011891207983348,1.1682127221431753,0.06930582525446104,-0.3941904496022638,10.919703057123716,,,0.37620420362383467,3.542726491387726,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Denisova06M.mid,Bach/Fugue/bwv_848/Denisova06M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.wav,69.31770833333333,,Bach/Fugue/bwv_848/Denisova06M.wav,2008Denisova,0.010429161228406805,0.0009984718569120408,0.04145704437079983,0.005075421979134943,0.7567527122642648,-0.3109883245097052,-0.6536091495998748,30.162558142290987,,,0.3456833113818901,0.9656934785732997,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Lee01M.mid,Bach/Fugue/bwv_848/Lee01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_08_R1_2011_MID--AUDIO_R1-D3_07_Track07_wav.midi,{maestro}/2011/MIDI-Unprocessed_08_R1_2011_MID--AUDIO_R1-D3_07_Track07_wav.wav,74.79557291666666,,Bach/Fugue/bwv_848/Lee01M.wav,2011Lee,0.015664988483685263,0.027399131470843035,0.13404900954029003,0.007560750908441687,0.8702310263567675,-0.22016092817004335,-0.6133930858334722,37.08838248497116,,,0.20033726598932314,-3.977627878441927,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/LeeSH01M.mid,Bach/Fugue/bwv_848/LeeSH01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav,83.64479166666666,,Bach/Fugue/bwv_848/LeeSH01M.wav,2017LeeSH,0.014216642166344554,-0.015325115463368162,0.1760067485849061,0.0066982162802196685,0.907560692692759,-0.1471098081938632,-0.663592574420363,21.38946811675356,,,0.32013510217958535,2.089106935741809,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Lin04M.mid,Bach/Fugue/bwv_848/Lin04M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--1.wav,75.37369791666666,,Bach/Fugue/bwv_848/Lin04M.wav,2008Lin,0.013740015503876156,-0.2487788630659746,-0.05884972827419063,0.006512516226018719,0.7867519996766696,-0.26444487227404606,-0.6697612778535351,24.051512635932024,,,0.3904045749542141,2.642006920913658,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Lou01M.mid,Bach/Fugue/bwv_848/Lou01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,{maestro}/2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav,75.55729166666666,,Bach/Fugue/bwv_848/Lou01M.wav,2011Lou,0.012588425572519138,0.13375978200306413,0.27575065193279585,0.00597643481232571,0.8402017160219913,-0.21609784929381656,-0.6306325541411726,22.616404429352578,,,0.347507669851428,1.5125350042601018,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/MiyashitaM01M.mid,Bach/Fugue/bwv_848/MiyashitaM01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.wav,79.61354166666666,,Bach/Fugue/bwv_848/MiyashitaM01M.wav,2015MiyashitaM,0.01074593678160931,0.07039448118286762,0.22872177165004876,0.005106963917411937,0.7610928641939257,-0.29446838928037494,-0.6082236241642348,13.611702758938737,,,0.22752427875814835,1.6217714727381733,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Mizumoto03M.mid,Bach/Fugue/bwv_848/Mizumoto03M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.midi,{maestro}/2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.wav,72.90625,,Bach/Fugue/bwv_848/Mizumoto03M.wav,2011Mizumoto,0.015278110038610066,-0.1041274090956678,-0.0035965031191515727,0.007304282117606348,0.8341975687582022,-0.24661737893343422,-0.6720115144202973,22.627021488354153,,,0.36524976849888713,0.4326590977580251,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/SunY01M.mid,Bach/Fugue/bwv_848/SunY01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--1.wav,70.603125,,Bach/Fugue/bwv_848/SunY01M.wav,2017SunY,0.011834211132437628,0.13461127598071315,0.13899880317685095,0.005665460847304929,0.8363887175514959,-0.20681465759481085,-0.6468822190504472,22.86013309387784,,,0.3125629158849584,2.102751054997797,,
Bach,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Bach/Fugue/bwv_848/Zhou01M.mid,Bach/Fugue/bwv_848/Zhou01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_02_Track02_wav.midi,{maestro}/2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_02_Track02_wav.wav,68.796875,,Bach/Fugue/bwv_848/Zhou01M.wav,2011Zhou,0.011212930769230918,0.04053039137896422,0.14282436067355164,0.005302567591440197,0.7201751910887423,-0.31504326610896594,-0.6971170149628065,23.70577491503344,,,0.4354411231884941,1.4202637364615776,,
